cellnames,dataset,tSNE_1,tSNE_2,KNNpred,SVMpred,IDconsensus,Tom_cells
F1S4_160108_001_B01,T18,-9.674647199,-35.99818268,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_160108_001_C01,T18,-15.72191823,-42.90491365,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_160108_001_D01,T18,-23.71261243,-12.42315974,non appliable,non appliable,Vip Crispld2 Htr2c,non appliable
F1S4_160108_001_E01,T18,28.72459629,-16.72720091,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_160108_001_G01,T18,5.448458567,-8.476598734,non appliable,non appliable,Sncg Vip Itih5,non appliable
F1S4_160108_001_H01,T18,54.90815914,25.38776328,non appliable,non appliable,Lamp5 Krt73,non appliable
F1S4_160108_002_B01,T18,43.14364074,-11.17435379,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_160108_002_C01,T18,-50.26671959,-6.714551204,non appliable,non appliable,Vip Lect1 Oxtr,non appliable
F1S4_160108_002_D01,T18,-33.57573562,-28.83881523,non appliable,non appliable,Vip Crispld2 Kcne4,non appliable
F1S4_160108_002_E01,T18,15.79184447,43.47040239,non appliable,non appliable,Vip Igfbp6 Pltp,non appliable
F1S4_160108_002_F01,T18,-20.52529676,-10.76477699,non appliable,non appliable,Vip Crispld2 Htr2c,non appliable
F1S4_160108_002_G01,T18,-39.39511979,-1.500540224,non appliable,non appliable,Vip Lect1 Oxtr,non appliable
F1S4_160108_002_H01,T18,-43.77483034,-16.63071276,non appliable,non appliable,Vip Crispld2 Kcne4,non appliable
F1S4_160108_003_A01,T18,20.76795818,-12.07204007,non appliable,non appliable,Lamp5 Plch2 Dock5,non appliable
F1S4_160108_003_B01,T18,-10.73136717,-36.39187373,non appliable,non appliable,Lamp5 Lsp1,non appliable
F1S4_160108_003_C01,T18,12.6325155,-48.85292689,non appliable,non appliable,Lamp5 Lsp1,non appliable
