"","feature.name","w","rk","z","pval","fdr"
"Npy",5396,-0.0061073228030505,1,-6.44051671325424,5.59311462150734e-10,2.0900717623048e-06
"Ndnf",9827,0.00679545796200712,1,7.45796935079971,3.43136700523199e-13,5.99288247463767e-09
"Cnr1",9178,0.00595433047883268,2.4,6.55241696260379,2.26384132416711e-10,1.29996532937798e-06
"Reln",8891,0.00594293638144134,2.7,6.53963382230015,2.55531958918823e-10,1.09067409325956e-06
"Htr1f",10043,-0.00542809040215421,2.7,-5.70862535301286,2.29096450229264e-08,4.52530577913009e-05
"Dgkg",2867,-0.005285531446079,3.2,-5.55519019831832,5.57306710574727e-08,8.85264374297466e-05
"Jam2",10320,-0.00517731432593251,3.5,-5.43836275762779,1.0649298396285e-07,0.000155323585296017
"Arl4a",9616,0.00514879246981767,5.2,5.68292847980133,2.80885335164006e-08,5.0905686478594e-05
"Asph",4686,-0.00476809700839728,5.8,-4.99821896029039,1.18492007495925e-06,0.00113824855308492
"Grik1",2891,0.00504861015137965,6.1,5.5727362738137,1.04515707642646e-07,0.000134588458241665
"Pcdh10",9838,0.00500287778154146,6.4,5.52446712199938,9.91036969347933e-07,0.000651757381244678
"Dpp6",11212,-0.00446272199107693,9.3,-4.66818149111053,8.16504704166275e-06,0.00467392810910306
"Ndst3",4585,-0.00440152014123362,9.5,-4.60172864120521,7.23516906686768e-06,0.00476349190810722
"Stmn1",4963,0.00460199204770939,9.6,5.0939479064961,1.16851559748915e-06,0.00105087653085488
"Fxyd6",11611,0.00457407589269706,10,5.06521590784367,7.10144230699857e-06,0.00364151810890719
"Nfib",848,-0.00433965444966215,11.4,-4.5358445713348,2.95720478974021e-05,0.012705331621799
"Rxfp1",6780,0.00443536541266247,11.4,4.91517408738814,6.51840728783597e-06,0.00392652138063508
"Rasl11a",5334,-0.00432984764596258,11.5,-4.52492988781478,1.76208862070817e-05,0.00843840618920908
"Pcdh17",7165,0.00433607492911545,11.6,4.80941459084308,3.52924359336005e-06,0.00267493690887665
"Sez6",68,-0.00427460639458983,11.9,-4.46552870865422,1.49635811520369e-05,0.00787012041959457
"Sema3e",11412,0.00424277344165709,13.1,4.70817368958848,1.12041019109722e-05,0.00578400048692232
"Ptprt",10330,0.00427252130590339,13.2,4.73846511224326,2.09050603730603e-05,0.00802491456725121
"Aldoc",1268,-0.00409172852934359,14.1,-4.26957272937301,2.72401110402201e-05,0.0132530377766464
"Spock1",10666,0.00418862575013458,14.4,4.64905619179901,2.96339426587577e-05,0.010422079872805
"Lrrtm3",8993,-0.00411317371333078,14.7,-4.2924414833573,2.97604008994596e-05,0.0141251524220417
"Caln1",11094,-0.0041209223429312,14.7,-4.30191000159971,7.28084458810905e-05,0.024121552630372
"Chl1",5455,0.0040789339263726,15.2,4.53186416942195,1.41381236098828e-05,0.00767247667657156
"Ogfrl1",3884,-0.00414468205277007,15.3,-4.32647248699811,5.80550962112048e-05,0.020087025585129
"Gap43",9594,-0.00405003435566094,16.1,-4.2246912968559,6.32133231663421e-05,0.0233503776948781
"Car4",82,-0.0040327102890899,17.2,-4.2057134701849,0.000101293843608126,0.0303526804485416
"Cacna2d3",2477,0.00396369796872996,18.9,4.40560505060524,0.000106952714392124,0.0282924124769914
"Rgs4",7933,0.003925038830133,19.2,4.36592962138556,0.000106562966082476,0.0272419326743266
"Dync1i1",5374,0.00403969859385912,19.6,4.48689634606438,0.000342569322280665,0.0407723078151011
"Cxcl14",2276,0.00376937095609583,20.1,4.2000463866608,7.2537534863099e-05,0.0252520112948022
"Nov",7598,-0.00380316638834934,20.1,-3.95892682191455,9.08283918071714e-05,0.0337488136441635
"Kcns3",9093,-0.00380554934293772,20.1,-3.95917914892482,0.000139814351808049,0.0445952486647217
"Akain1",13439,-0.00380220239512955,20.3,-3.9570074248018,0.000113279993096227,0.0388447687512794
"Timp2",1279,0.00375994870499537,21.4,4.18760680827298,7.66693414523949e-05,0.0252324034918482
"Prkca",10069,-0.0037554452286791,23.9,-3.90775692283742,0.000285666752373646,0.0636150243362257
"Pcdh8",7360,-0.00371080928328294,24.2,-3.86039343701346,0.0001838769713655,0.0548745598825158
"Grin3a",8218,0.00349847657406063,25.8,3.90685772990471,0.000151456295339769,0.046366937524085
"Atp6ap1l",12425,0.00350079029569362,25.9,3.91082304030829,0.000165846398334089,0.0516088978524891
"Pde4b",4822,0.00344046995998104,27.4,3.84483846403624,0.000226735280801142,0.0618447001535038
"Ptprz1",11749,0.00341052957804322,27.7,3.81265548924181,0.000251307094197462,0.0692765085769832
"Cort",5034,-0.00355268825585886,28.3,-3.68911889281223,0.000342077890890639,0.085639563205197
"Fam84a",1886,0.00352391671899701,28.4,3.93256727751302,0.000396268894591563,0.0646627773861544
"Spock3",10433,0.00347527541864809,30.9,3.88080920197263,0.000535256092944176,0.0903891226215841
"Tmem196",9695,0.00336309411840375,31,3.75953282574684,0.000417886492972786,0.0840322241204013
"Vrk1",2121,0.00330894195869827,31.5,3.70220724995136,0.00047726412548998,0.0960206131596945
"Tm6sf1",7966,-0.0034881537080813,31.5,-3.61825959420697,0.000419479882865344,0.0978413544890436
"Vwa5a",2968,-0.00346551351039479,31.6,-3.59316460828571,0.00042966456474272,0.101552021968079
"Fam46a",6294,-0.00350134214327416,32.2,-3.63415396075024,0.000553892456113784,0.115986345379238
"Golm1",2294,-0.0034085001173071,32.8,-3.53333221586664,0.000445296177514985,0.111184034710874
"Mrap2",8976,-0.00341858257129822,33.2,-3.54393324419565,0.000486365064049789,0.114370330747498
"Syt4",3183,0.00324995731671394,33.8,3.63877060267066,0.000497408759028973,0.10529482076385
"Coro6",1996,-0.00343743071866801,35,-3.56562027989348,0.000637881158033175,0.130454314697506
"Ramp3",8596,0.00326272397906682,35.9,3.65328750421007,0.000679161781551339,0.12552223065638
"Ephx2",2500,-0.00333389722691979,36.8,-3.45311703826069,0.000677423439101814,0.144426321115261
"Rab6b",6435,0.00320608280027072,37.1,3.5887276079674,0.000696409482792244,0.125636378959689
