"","E14mu","PNmu"
"Kit",0.524846918767112,3.44390326974403
"Nxph1",0.381249952054037,4.38283889231608
"Mpped1",0.42321291973808,3.66325004235105
"Ndnf",1.81240130533466,4.84095051253109
"Nyap2",0.739225602324092,2.90569782525741
"Tsc22d1",1.98857014211689,3.24098693066719
"Unc5c",0.0466350960263888,2.60697934852392
"Cacna2d1",-1.09524465299723,2.15872752750846
"Npy",1.17745162159072,5.97811845692823
"Sema5a",0.975140155001424,2.62771172480593
"Afap1",1.10945785010539,2.09250792891521
"Tox2",1.67160172718644,1.85763501972138
"Brinp2",0.239004075632432,2.00562262674572
"Bcl11a",1.20836924150748,2.16623934696614
"Slc6a1",2.58104999303569,2.26326906384306
"Reln",0.825404046140978,4.12993293950938
"Phactr1",0.602719770123612,2.11739220327135
"Vcan",0.512803062840366,1.41579597883348
"Tox3",-2.64302696087036,1.61790574281316
"Bcl11b",0.73565888202308,2.26953029794232
"Mpdz",0.153801807194602,1.78831466206935
"Gad1",0.661720545186135,1.76846366660548
"Osbpl8",-0.447199834208312,1.67754246666375
"Dner",2.86715994965654,1.74974821493544
"Gad2",1.09364054443009,2.39712433908376
"Spock1",0.734586836175188,1.96122636720666
"Arl4a",0.756001416062338,1.73129926000119
"Lin7a",0.0673410183214466,1.51924458225926
"Grm5",1.24964401064199,1.82675376425444
"Fam46a",0.241492758192551,1.37673388072124
"Kif5c",3.85234420524684,1.53804552239736
"Syt7",0.222443334616504,0.674223971016964
"Dok5",0.828017699116348,0.970912150050331
"Plk2",1.25571874203155,1.54368055409499
"Nt5dc3",0.189083485264355,1.3922414542859
"Akap5",0.151080064020527,1.33655422626907
"Arid5b",0.651716875576261,0.527704398283803
"Rasl11a",-0.161916857537366,0.800496376127987
"Fgf13",0.611790173752665,1.58762489550295
"Mctp1",-0.271477833995644,1.37499983856526
"Sema6a",1.87290010023639,1.13628330245965
"Tdrd3",-0.0164675187472172,0.595965521410956
"Fat1",1.76677162614171,0.883607036663417
"Chd3",1.51132309928757,1.42124909974898
"Luzp2",0.476615652296427,1.75668224870565
"Ctsz",-0.554361940224573,0.674846795120637
"Mapk10",0.938986662325963,1.08966868508946
"Clcn2",0.505493791094956,0.581023551930397
"Tmeff1",0.629430559077208,1.44883889888764
"Plekho1",0.299131931888245,0.634675818090424
"Cap2",-0.425792925727191,1.26631270515076
"Plcb1",0.0543464113458356,1.31822288721784
"Elovl4",1.09951894408074,1.1137545273646
"Rbm24",-0.0499087195517218,0.316333446699483
"Vrk1",-0.581939823775599,1.20254484796232
"Rims1",-0.24702460686777,1.23934467147364
"Sesn3",0.192484026144103,1.0000214533064
"Add3",0.00531609140527192,1.00734144053217
"Utrn",0.280921593515211,0.977015216840824
"Prom1",-0.35052283362433,0.652176858662534
"Pcdh17",2.60013155620177,1.29495779803016
"Plxnc1",0.545784695811685,0.670248328393711
"Prkcb",-0.232034253548088,0.839017904823825
"Pnoc",2.37382041092276,0.969793309128083
"Il1rapl1",0.868080674971446,0.593647696995163
"Mafb",-0.213995023921242,0.860985068915142
"Igfbp2",0.711263131342773,0.225098868485094
"Pdlim5",0.598574004500867,0.71096315263493
"Syt1",4.60495276092111,1.27954801133017
"Serp2",1.18365923524939,0.874492315517375
"Qk",-0.0432875934087833,1.16835365706798
"Gria4",-0.289611842683597,0.762134550089485
"Fam63b",0.883278221397633,1.16220661267127
"Rab3b",0.674143338135581,0.754483258317859
"Mtcl1",-0.563047295999525,1.13012200627971
"Rgs4",0.497894621879091,1.13234211681713
"AI504432",0.33075290276311,0.855611916432362
"Sipa1l1",-0.26693425884257,1.25259340804989
"Kcnh7",0.172277220033635,1.0405925356886
"Cyth3",0.228166266187916,0.742641571839036
"Errfi1",-0.108047902972011,0.807271172335636
"Nmnat2",0.6386868687231,1.10263673572755
"Rab6b",0.332900739481867,0.988029676244595
"Pttg1",-0.659426549400037,0.739746218959563
"Rora",0.285401905841293,1.77376408092214
"Slc38a1",1.1224740053679,0.941105822541407
"Plppr4",0.567031014724069,1.16341288425087
"Pdxk",0.127976086543127,1.00664136621248
