"","feature.name","w","rk","z","pval","fdr"
"Gnai3",1,0.000759614751870121,2418.9,1.00820797964792,0.334872578205772,0.999843667608648
"Scml2",2,-1.64959365481604e-05,7647.2,-0.0063625066120884,0.865786315859292,0.999843667608648
"Narf",3,0.000259604475189713,6309.5,0.353841615303599,0.732022356359037,0.999843667608648
"Cav2",4,0.00111963503422809,1036,1.47895185975317,0.15409926255507,0.999843667608648
"Klf6",5,5.06635873557533e-05,7649.5,0.0819256542824289,0.856116561789382,0.999843667608648
"Scmh1",6,0.0012989894091095,667.5,1.71535875290099,0.0941848963393472,0.990249642788897
"Cox5a",7,4.55753495884508e-05,7754.4,0.0750551168285891,0.87057609796609,0.999843667608648
"Ngfr",8,0.000983202342636032,1390.3,1.30165096784039,0.206090011547052,0.999843667608648
"Wnt9a",9,0.000108161826283,7344.1,0.157038042473129,0.831445046693179,0.999843667608648
"Fer",10,-0.00124210809796584,1010.8,-1.61074320002087,0.13382013979486,0.964490842927508
"Xpo6",11,-0.000327045903716031,5717.5,-0.413754075280232,0.686679913334525,0.999843667608648
"Tfe3",12,0.000790275217033695,2220.1,1.04819134780673,0.315696336168692,0.999843667608648
"Axin2",13,0.0012734503777951,742.7,1.68144660902476,0.105225571095864,0.99893289140554
"Brat1",14,-0.000255989942264628,6302,-0.319888869328489,0.737213736238225,0.999843667608648
"Gna12",15,0.000385334734765079,5030.8,0.519608092845306,0.613746511643913,0.999843667608648
"Dlat",16,-0.000417253705228005,4952.9,-0.530911318181314,0.607671403005419,0.999843667608648
"Sdhd",17,0.000285211875679966,5773.1,0.388585189869547,0.684754244793977,0.999843667608648
"Ccnd2",18,-0.000240117703480409,6342.9,-0.299127478309326,0.7446208365209,0.999843667608648
"Gpr107",19,0.000646957927055803,2963.4,0.860574351687786,0.402402982506414,0.999843667608648
"Nalcn",20,0.00208025396926242,185.4,2.73710713361717,0.00853269170748514,0.380101230494922
"Btbd17",21,-2.87604357463019e-05,8219.2,-0.0225660276028852,0.915820370597401,0.999843667608648
"Drp2",22,-0.000391530103806265,5232.4,-0.497728916822227,0.633791185149148,0.999843667608648
"Gmpr",23,-9.6251640852728e-05,6338.4,-0.109759280978962,0.740309830539611,0.999843667608648
"Mid2",24,-0.000227222227909259,6580,-0.281849090031843,0.767186915390287,0.999843667608648
"Dgke",25,0.000518300368348958,3972.5,0.693149710773179,0.506527340686345,0.999843667608648
"Scpep1",26,0.000645218924614525,2873.8,0.858514355689705,0.397529715345016,0.999843667608648
"Mnt",27,0.000160713656555585,6695.9,0.225537551496693,0.774787603232039,0.999843667608648
"Hddc2",28,-0.000506729051126878,4191.6,-0.647692613014869,0.529147832376939,0.999843667608648
"Tpd52l1",29,-0.000591406466954729,3497.7,-0.759120131828931,0.45671443633553,0.999843667608648
"Pemt",30,0.000379939118333649,5029.1,0.511586811669184,0.61633498792802,0.999843667608648
"Cdh4",31,-0.00292756925141251,53.1,-3.81567468989887,0.000188937158348561,0.0251058143773365
